"case_id","running_time","total_cost","holding_cost","penalty_cost","machine_cost","skill_cost","best_cluster","bestS","bestEBO","bestServerAssignment","GAP","GAPoolingPercentGAP"
"Case: 0089",268.898792028427,631233.280532609,24922.4343944148,6310.84613819405,500000,100000,"[[2, 7], [4, 6, 8, 10], [9], [3, 5], [1]]","[[3, 21], [2, 9, 4, 2], [33], [27, 13], [3]]","[[0.0077233025550962784, 0.03662643800724837], [0.048874206958930556, 0.06214600511369358, 0.007351290010457237, 0.007725729160349078], [0.015609024898068254], [0.056274858020882564, 0.023655676103097194], [0.006006397792350804]]","[1, 1, 1, 1, 1]",-30986.5426728323,-4.67919285817261
"Case: 0090",1582.59433841705,1174977.0056327,41621.03259187,13355.9730408269,900000,220000,"[[1, 7], [20], [2, 11, 16], [3, 10], [6, 12, 17], [4, 13], [8, 9, 18], [5, 14, 15, 19]]","[[33, 3], [20], [5, 6, 3], [21, 33], [2, 1, 3], [1, 21], [4, 3, 4], [4, 1, 7, 3]]","[[0.1787581118717433, 0.019277651399810525], [0.039415379897769755], [0.01429242744863361, 0.029963564496722588, 0.01745501978656669], [0.02318754003440306, 0.033921264582030326], [0.024216868042932427, 0.0677802322234425, 0.01748758217060455], [0.011184106288979468, 0.05021624515316421], [0.033770435774828994, 0.030022066679055097, 0.03221180849400043], [0.028368213516522158, 0.041174910600003875, 0.0211221943364103, 0.03590559311608918]]","[1, 1, 1, 2, 1, 1, 1, 1]",-342202.139582048,-22.5551570927777
"Case: 0091",317.066194057465,532690.147466547,13631.6870618248,3058.46040472166,500000,16000,"[[3, 4, 5, 10], [8, 9], [1, 2, 6, 7]]","[[8, 3, 11, 8], [12, 16], [1, 11, 1, 4]]","[[0.015063633951795058, 0.01822760666385903, 0.03916659993746588, 0.019214532811220916], [0.025277692298861617, 0.012010053757802114], [0.015521915668532456, 0.07804436909098421, 0.01262722532938262, 0.01901345818707487]]","[2, 2, 1]",-335.54429782473,-0.062950867661565
"Case: 0092",8695.35695624352,1048608.18320407,72064.7785919714,21543.4046120946,900000,55000,"[[2, 7, 10, 12, 14, 15, 18, 20], [1, 4, 6, 9, 11, 16, 17], [3, 13], [5, 8, 19]]","[[2, 9, 0, 7, 4, 3, 2, 3], [9, 2, 11, 27, 29, 30, 22], [2, 100], [8, 24, 4]]","[[0.022401656070981626, 0.03344586105441936, 0.024384458138519357, 0.09126305577566352, 0.11100178279940119, 0.02272949900867981, 0.014816779726459985, 0.04152518409954688], [0.038178707001283216, 0.0193596759962297, 0.015266927037747638, 0.03550252175165596, 0.019616099695705373, 0.06031272954823819, 0.02828425470674991], [0.022032097585679724, 0.3130232836312958], [0.03621661365949341, 0.047228440083704186, 0.030890322589960405]]","[1, 6, 1, 1]",-53691.1806348783,-4.87083476560212
"Case: 0093",1177.64880847931,738218.879834052,29460.9174940778,8757.96233997365,500000,200000,"[[3, 4, 8], [2, 6, 7, 10, 12, 13, 18, 20], [5, 11, 14, 16, 19], [1, 9], [15, 17]]","[[2, 10, 3], [1, 1, 1, 0, 2, 1, 1, 1], [2, 4, 1, 2, 3], [35, 12], [1, 13]]","[[0.022185140739666098, 0.018818834614309738, 0.005791519135162897], [0.008477608515137413, 0.003489825602751891, 0.006549502414426132, 0.03783465362135122, 0.006299455997066717, 0.01978857420748543, 0.00679928364773729, 0.008376872089091263], [0.01010209658077378, 0.01426576664895417, 0.00442907973100914, 0.002678283835762386, 0.00560797631663123], [0.06293813340387518, 0.02075870044289921], [0.027035182671720056, 0.026086106684759608]]","[1, 1, 1, 1, 1]",-130917.783342259,-15.0629686778846
"Case: 0094",401.524983882904,1009961.79920713,39384.3873938887,10577.4118132432,800000,160000,"[[3], [1, 2, 6, 8, 9, 10], [4], [5, 7]]","[[30], [5, 4, 1, 6, 2, 1], [21], [19, 27]]","[[0.03042575893853744], [0.03486516053124392, 0.036341371723497065, 0.008362641359752744, 0.08744213053601367, 0.005159928050280953, 0.003103740836520553], [0.04593491929539578], [0.027231900777636663, 0.04300955816598159]]","[3, 1, 1, 3]",-74960.7299939147,-6.90931637755895
"Case: 0095",1076.81324887276,611253.078352118,51377.6652349003,15875.4131172173,500000,44000,"[[1, 3, 6, 7, 8, 9, 10, 11, 12, 15, 16, 19], [2, 4, 5, 13, 14, 17, 18, 20]]","[[2, 2, 2, 5, 2, 3, 3, 4, 3, 1, 1, 1], [13, 34, 25, 47, 8, 13, 3, 15]]","[[0.017856562380998274, 0.006748772278260702, 0.005064488648842187, 0.024528972109254726, 0.0505994011589871, 0.01701193737623875, 0.026884499173006095, 0.02417033677589698, 0.019555206841685175, 0.007806655855490262, 0.007702742925910012, 0.015224414688819942], [0.03039370439334547, 0.055828226248884436, 0.07262000958140881, 0.11880006764030542, 0.020592642501535106, 0.058710475511316106, 0.004908011503027409, 0.02998670654176164]]","[1, 4]",6049.50323021656,0.999581542293114
"Case: 0096",757.009485006332,999722.714678976,46374.9733630109,12347.7413159647,900000,41000,"[[1, 2, 3, 4, 6, 9], [8], [5, 7, 10]]","[[23, 48, 12, 18, 15, 15], [48], [5, 1, 1]]","[[0.03204126011536975, 0.145018566733387, 0.06918150317480752, 0.033090610461194776, 0.02166823069102314, 0.05723463949245938], [0.06509949821815351], [0.015910271659869205, 0.056607832401443806, 0.033929374234864675]]","[6, 2, 1]",2782.67119492742,0.279121218283368
"Case: 0097",975.609524011612,96557.3152662384,18068.9916447894,6488.32362144897,60000,12000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[7, 3, 5, 5, 2, 3, 3, 1, 2, 3, 4, 4, 5, 9, 3, 7, 2, 3, 9, 3]]","[[0.020477843835543942, 0.03939814305665512, 0.0272771961312282, 0.0069893980822310605, 0.05825058510992687, 0.033537306498971076, 0.01860415602469069, 0.0030961033074244845, 0.010787424486477067, 0.015337773086452, 0.07769250775655408, 0.04354743265438704, 0.045838291815587746, 0.0220666966506228, 0.01899754346010063, 0.02112647607143632, 0.0044195028695581465, 0.05422627170762663, 0.021113699399097862, 0.00647869503934696]]","[6]",3135.30798484031,3.35607002683682
"Case: 0098",1333.3176074028,138931.518341239,24892.618282675,7438.90005856351,100000,6600,"[[1, 3, 4], [2, 5, 6, 7, 8, 9, 10]]","[[3, 4, 4], [20, 12, 3, 23, 11, 40, 9]]","[[0.01904948654343443, 0.02522804288497351, 0.007638132148649443], [0.07951895264722943, 0.011378678931449565, 0.03299483709388717, 0.28813640831775206, 0.08757116382703747, 0.0026001725793243385, 0.0605272417413309]]","[1, 9]",4985.28388895479,3.72185445103402
