"algorithm_type","case_id","running_time","total_cost","holding_cost","penalty_cost","machine_cost","skill_cost","best_cluster","bestS","bestEBO","bestServerAssignment","GAP","GAPoolingPercentGAP","num_clusters","num_used_servers","avg_num_servers_per_cluster","avg_num_skills_per_server","avg_cross_training_perf","total_stock","Case  ID","n_sku","initial_servers","util_rate","cost_hmin","work_load_relation","cost_f","cost_ci","skills_per_cluster"
"GA2","Case: 0016",5878.89100003243,1351130.79877932,90514.4161265655,26616.3826527502,1200000,34000,"[[9, 10, 16], [17, 18], [5, 14], [11], [3, 7, 13, 15], [2, 8, 19], [1, 6], [4, 12, 20]]","[[1, 4, 3], [20, 20], [0, 1], [20], [12, 6, 24, 5], [15, 2, 2], [8, 8], [3, 15, 7]]","[[0.03646018781689691, 0.025163853123816915, 0.01341001863625282], [0.07957437117667729, 0.19585273661724045], [0.023721101451903703, 0.0029580895485961625], [0.13049799292450462], [0.01351768677577092, 0.00704492405631295, 0.028084820793589812, 0.02052034450045751], [0.0306965856807998, 0.01773941782631283, 0.021979078715530762], [0.04240677935582066, 0.07369517373491895], [0.020265260718638607, 0.10571819915081687, 0.03149300442884178]]","[1, 1, 1, 1, 3, 2, 1, 2]",202869.595488746,17.6675476718523,8,12,1.5,2.83333333333333,14.1666666666667,176,16,20,10,0.8,100,"IND",100,0.01,2.5
"GA2","Case: 0017",1600.58800005913,545640.849895175,24740.3182793756,7900.53161579896,500000,13000,"[[1, 3], [5, 8, 10], [2, 6, 9], [4, 7]]","[[3, 13], [5, 4, 8], [3, 9, 14], [13, 4]]","[[0.0212234613252338, 0.02925425075558409], [0.03331521895553584, 0.006932829548212974, 0.08961063158999992], [0.06329084827810909, 0.007792539030204294, 0.05635507736390093], [0.020287781662316276, 0.019244199329086626]]","[1, 1, 2, 1]",88161.9814637137,19.2712685868948,4,5,1.25,2.6,26,76,17,10,5,0.65,1,"HPB",100,0.01,2.5
"GA2","Case: 0018",5118.26600003243,110910.367757916,14400.5452183347,6509.82253958108,70000,20000,"[[2, 7, 10, 15], [3, 4], [9, 14], [12, 18], [1, 5, 6, 13, 20], [11, 17, 19], [8, 16]]","[[4, 2, 2, 2], [4, 1], [2, 7], [3, 12], [0, 4, 0, 3, 1], [2, 3, 2], [3, 3]]","[[0.03260562669483569, 0.029113696039658035, 0.010167935170875523, 0.00473129716919486], [0.015969626381954552, 0.018962606154700287], [0.013803673990717642, 0.007364521551685483], [0.004325541309500483, 0.0651101186147477], [0.04424298781717726, 0.009688979571596392, 0.056740596709092796, 0.0120636900252328, 0.02435511234036166], [0.00965646858057232, 0.01814604215587646, 0.020329253310451635], [0.07179037028092988, 0.007052134231467801]]","[1, 1, 1, 1, 1, 1, 1]",9560.59925733486,9.43327192432617,7,7,1,2.85714285714286,14.2857142857143,60,18,20,5,0.65,1,"HPB",10,0.1,2.85714285714286
"GA2","Case: 0019",1345.56100010872,145844.077917281,15564.0555300292,4280.02238725198,110000,16000,"[[4], [6], [9], [10], [2, 3, 7], [1, 8], [5]]","[[5], [7], [5], [5], [1, 1, 1], [9, 9], [17]]","[[0.020511782317742575], [0.015439520819735217], [0.0149898255181476], [0.020576348527152233], [0.0025759728300808775, 0.01855785254949012, 0.013074316792964401], [0.016676708917323098, 0.01246239190183779], [0.01690753333317746]]","[1, 1, 1, 1, 1, 3, 3]",-6707.3037401544,-4.39675056841904,7,11,1.57142857142857,1.45454545454545,14.5454545454545,60,19,10,10,0.65,1,"HPB",10,0.1,1.42857142857143
"GA2","Case: 0020",6388.12199997902,1020429.11043887,73072.4848400732,22356.6255987975,900000,25000,"[[11, 13], [9, 14, 19, 20], [3, 16], [7, 8, 18], [1, 4, 6, 12], [5, 10, 15, 17], [2]]","[[1, 9], [2, 1, 1, 2], [53, 11], [4, 10, 14], [10, 2, 11, 5], [6, 8, 20, 29], [12]]","[[0.02255111163055293, 0.026223097799372676], [0.05256489915879341, 0.008613584887030528, 0.020499766370195262, 0.028095162168607093], [0.05387493014207081, 0.04379275332157224], [0.011232650858097737, 0.03532806288916412, 0.03317649181548175], [0.08440127288566586, 0.019387274459889865, 0.032518200336614, 0.06916434541416625], [0.018443649221813217, 0.08533440247861884, 0.1278656883730443, 0.11064061466208346], [0.02270415297079384]]","[1, 1, 2, 2, 1, 1, 1]",22270.0936587413,2.23111681449118,7,9,1.28571428571429,2.77777777777778,13.8888888888889,211,20,20,10,0.65,1,"HPB",100,0.01,2.85714285714286
"GA2","Case: 0021",7698.80599999428,74442.4603870016,9258.35925279172,2784.10113420984,60000,2400,"[[1, 2, 3, 4, 9, 10], [7, 8], [5, 6]]","[[7, 2, 2, 78, 52, 32], [4, 2], [11, 14]]","[[0.04256246941670427, 0.049600134770524246, 0.04754191608845686, 0.12449189844230796, 0.17210607529583635, 0.4233454778817062], [0.013489233648600099, 0.009084344996565765], [0.03127770190876336, 0.021791236722938534]]","[3, 1, 2]",5877.70269239365,8.57248372199219,3,6,2,4,40,204,21,10,5,0.8,1,"HPB",10,0.01,3.33333333333333
"GA2","Case: 0022",3497.07100009918,1127767.79855826,20758.0940953749,7009.70446288294,900000,200000,"[[17], [8, 11, 18], [2, 4, 15], [3, 9], [1], [6, 12, 13, 16], [5, 20], [14, 19], [7, 10]]","[[5], [1, 1, 0], [9, 3, 3], [2, 3], [48], [1, 1, 1, 4], [3, 2], [1, 4], [2, 1]]","[[0.012307303479902356], [0.013917299880652972, 0.013438684048687966, 0.04242853284174544], [0.04144449084989797, 0.01084353692597032, 0.07633536806805062], [0.011800973565696381, 0.01133814067470902], [0.030048411835422985], [0.016490237003168273, 0.004282142609049961, 0.026034580936059037, 0.02145337485491684], [0.02036522840756224, 0.018752437930741925], [0.009360302770526878, 0.02684410649234844], [0.0050309768542045625, 0.004301512323903243]]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",218295.242371441,24.0024001699069,9,9,1,2.22222222222222,11.1111111111111,95,22,20,5,0.8,1,"HPB",100,0.1,2.22222222222222
"GA2","Case: 0023",1451.17900013924,1143728.1983646,65196.3371368609,18531.8612277385,900000,160000,"[[3, 8], [7], [1, 9], [4, 6], [2, 5], [10]]","[[12, 2], [69], [52, 13], [7, 2], [4, 91], [73]]","[[0.07056800979733098, 0.114918595251868], [0.34426906974358934], [0.170507039068398, 0.21164154275321245], [0.04206789480335124, 0.09283720779449606], [0.05929747199270695, 0.25543791090616297], [0.2933925467204552]]","[1, 1, 2, 1, 3, 1]",-43983.6023913873,-3.70322180544064,6,9,1.5,1.77777777777778,17.7777777777778,325,23,10,10,0.8,1,"HPB",100,0.1,1.66666666666667
"GA2","Case: 0024",6327.79500007629,164842.000284559,32452.6675485183,9289.33273604089,120000,3100,"[[4, 20], [6, 13, 19], [1, 2, 3, 8, 14], [7, 9], [15, 17], [10, 12, 16, 18], [11], [5]]","[[5, 2], [15, 9, 4], [5, 2, 8, 4, 5], [11, 4], [19, 3], [2, 4, 3, 5], [7], [11]]","[[0.009416018270671468, 0.015383248456201506], [0.01861542450000849, 0.05763232923493907, 0.008982157097764959], [0.008757717977119762, 0.035941989306190116, 0.023796813943222722, 0.007622909480433331, 0.05031508474161436], [0.029942114199698333, 0.015246319998806528], [0.02884765054510634, 0.03800349769069612], [0.013464838385706715, 0.019792281499819986, 0.0489402336976221, 0.01361832982509634], [0.02390136843099753], [0.006595927549667091]]","[1, 2, 2, 2, 1, 1, 1, 2]",25161.1768946761,18.0133366084514,8,12,1.5,2.58333333333333,12.9166666666667,128,24,20,10,0.8,1,"HPB",10,0.01,2.5
"GA2","Case: 0025",1126.26899981499,84169.1850465473,11093.9488972855,3075.23614926176,60000,10000,"[[10], [1], [2, 9], [3, 6, 7], [5], [4, 8]]","[[6], [5], [4, 3], [1, 8, 3], [7], [4, 3]]","[[0.011405310907555333], [0.02283417178649804], [0.021197362574367044, 0.01882694526529276], [0.030757394706579268, 0.027071578696125254, 0.01643717263029058], [0.028875408392363713], [0.02261113878963116, 0.016795768283093676]]","[1, 1, 1, 1, 1, 1]",3826.22058381097,4.76235923007994,6,6,1,1.66666666666667,16.6666666666667,44,25,10,5,0.65,100,"HPB",10,0.1,1.66666666666667
"GA2","Case: 0026",5031.19400000572,673434.858915764,40092.3130705845,13342.5458451797,600000,20000,"[[13, 15, 19], [1, 4, 18], [3, 5, 6], [2, 8, 9, 11, 16], [12, 14, 17, 20], [7, 10]]","[[5, 42, 7], [1, 2, 1], [7, 4, 7], [3, 11, 5, 5, 3], [4, 5, 3, 4], [4, 4]]","[[0.009751369409410193, 0.12125090019428662, 0.11198229616092714], [0.01704346097304026, 0.004512842246714911, 0.014562388443407832], [0.01394190624913303, 0.013136717693633271, 0.01567085659832874], [0.004666799968667668, 0.03726198176232399, 0.0211848609660241, 0.023675486727243046, 0.058078718514088565], [0.017261931729688967, 0.017833623852494325, 0.07374983289757707, 0.06854219168309247], [0.020948240938764576, 0.005833902374534132]]","[1, 1, 1, 1, 1, 1]",111952.68340144,19.9387778069517,6,6,1,3.33333333333333,16.6666666666667,127,26,20,5,0.65,100,"HPB",100,0.01,3.33333333333333
"GA2","Case: 0027",3066.05900001526,908389.128184815,68908.1952128646,17480.9329719504,800000,22000,"[[2, 4, 8], [3, 7], [1, 5], [6, 9, 10]]","[[5, 24, 38], [51, 8], [3, 8], [6, 7, 9]]","[[0.010968523987344398, 0.01958961411859725, 0.07233979716799362], [0.25539327284804636, 0.023094611635060436], [0.03480199675437033, 0.018894446278920205], [0.023293273681760415, 0.06236558312544151, 0.031633058910026816]]","[5, 1, 1, 1]",-62889.6519427508,-6.47493317361376,4,8,2,2.75,27.5,159,27,10,10,0.65,100,"HPB",100,0.01,2.5
"GA2","Case: 0028",2988.35900020599,177776.118065069,33881.5916971492,8894.52636792013,110000,25000,"[[1, 4], [6, 15, 19], [13], [2], [14, 20], [3, 5, 18], [7, 8, 9], [11, 12], [10, 16, 17]]","[[7, 22], [3, 1, 5], [4], [7], [6, 12], [2, 1, 3], [3, 5, 10], [9, 5], [1, 1, 3]]","[[0.012568763558377695, 0.03774737016902916], [0.023320731055219205, 0.035469829871807024, 0.011654185911173603], [0.011404647191958488], [0.015545668657947872], [0.01531898997227379, 0.047555534412652964], [0.010970734650664294, 0.006646510839862084, 0.006677631255942576], [0.010733093817279823, 0.024587084929033633, 0.011652220833397287], [0.04503699101661295, 0.022442432511517965], [0.0025936569992318706, 0.00713117623287461, 0.005379134112469342]]","[2, 1, 1, 1, 1, 1, 2, 1, 1]",-12545.5763851445,-6.59177421753477,9,11,1.22222222222222,2.27272727272727,11.3636363636364,110,28,20,10,0.65,100,"HPB",10,0.1,2.22222222222222
"GA2","Case: 0029",1482.84700012207,711517.83627325,70380.1961797605,21137.6400934897,500000,120000,"[[4, 7, 10], [3, 9], [1, 2, 5], [6, 8]]","[[9, 11, 10], [103, 9], [3, 22, 7], [2, 53]]","[[0.03208891030386329, 0.05290675528768933, 0.05392668065561317], [0.19768202679619606, 0.022590271142621195], [0.015585460827354966, 0.21407669598077067, 0.15833162731947772], [0.02205273721171491, 0.14424591273459733]]","[1, 2, 1, 1]",30261.0366014373,4.44194268828071,4,5,1.25,2.4,24,229,29,10,5,0.8,100,"HPB",100,0.1,2.5
"GA2","Case: 0030",7640.33100008965,118630.442435788,25161.7000560174,10768.7423797706,80000,2700,"[[13], [1, 2, 6, 15], [4, 16], [5, 7, 8, 11, 14, 17, 20], [3, 12], [19], [9, 10, 18]]","[[0], [2, 2, 5, 2], [7, 4], [3, 11, 4, 2, 1, 2, 8], [1, 7], [27], [2, 3, 10]]","[[0.029360998245803373], [0.04522810600146627, 0.01238101447058559, 0.010298925965140817, 0.028936052491445097], [0.01581862817917445, 0.02391547996636282], [0.01799462769394732, 0.06919825684375398, 0.09441859477987208, 0.007988851975603634, 0.01378082993132542, 0.007520312123214622, 0.029648427134883335], [0.020124923449648675, 0.011065217829952838], [0.04299089098937326], [0.05079182387722926, 0.022409565168993933, 0.024272306073573353]]","[1, 1, 1, 2, 1, 1, 1]",29801.3754321297,33.5491257956164,7,8,1.14285714285714,3.375,16.875,103,30,20,5,0.8,100,"HPB",10,0.01,2.85714285714286
"GA2","Case: 0031",10519.4049999714,150284.605142545,29601.7116618148,7882.89348073007,110000,2800,"[[3, 5, 6, 9], [7, 8], [2], [1], [4, 10]]","[[6, 7, 38, 11], [5, 6], [20], [28], [2, 4]]","[[0.049689303591277274, 0.033970080147995796, 0.030333230582176945, 0.02116745656479244], [0.0221989641931641, 0.01966028679663543], [0.0333047688710656], [0.033663454530228364], [0.028288599601113986, 0.048254482672183505]]","[5, 1, 2, 2, 1]",11374.259757501,8.18820205649391,5,11,2.2,2.54545454545455,25.4545454545455,127,31,10,10,0.8,100,"HPB",10,0.01,2
"GA2","Case: 0032",3566.9960000515,1450544.55298719,95098.9873920781,25445.5655951149,1100000,230000,"[[10, 16, 17], [8, 15], [5, 6], [4, 9], [14, 18], [11, 13], [20], [12, 19], [1, 2, 3, 7]]","[[3, 9, 15], [16, 16], [2, 3], [8, 4], [5, 10], [2, 13], [124], [6, 6], [11, 8, 9, 2]]","[[0.011436191353623344, 0.08766426892777801, 0.04657856745830261], [0.04490914400723633, 0.04960502344233036], [0.009804850357917472, 0.011323997018767167], [0.01704827341862, 0.03355349587888169], [0.037694315176048085, 0.029522979178648018], [0.03441819079611461, 0.03542501276099928], [0.14178329003317514], [0.017839081213260284, 0.03440551974750498], [0.10230846468426091, 0.09725208891657501, 0.027510927210896336, 0.02725983552276572]]","[1, 1, 1, 2, 1, 1, 2, 1, 1]",-61071.1513412138,-4.04012416425292,9,11,1.22222222222222,2.09090909090909,10.4545454545455,272,32,20,10,0.8,100,"HPB",100,0.1,2.22222222222222
"GA2","Case: 0033",18322.9730000496,167672.53723806,24093.3007805389,8179.23645752076,130000,5400,"[[11, 13], [2, 6, 7], [17], [1, 14, 16, 18], [10, 12, 15], [3, 4, 5, 8, 9, 19, 20]]","[[7, 11], [3, 4, 12], [7], [2, 1, 1, 2], [1, 1, 2], [8, 13, 1, 3, 7, 23, 7]]","[[0.017472738341415175, 0.01166960163316347], [0.016762267546720076, 0.012531237948030377, 0.018227422849475327], [0.013390696266154307], [0.017247271804669093, 0.011786842935781194, 0.013420039892944505, 0.011235253589366058], [0.020925562424022746, 0.04521229563598152, 0.012709812575753479], [0.011602390151814052, 0.06116202346577492, 0.013320755695703975, 0.012199201784763412, 0.009953506029960809, 0.056439891560226337, 0.011789614193250109]]","[2, 2, 2, 1, 1, 5]",30079.3341996282,21.8610611101384,6,13,2.16666666666667,4.15384615384615,20.7692307692308,116,33,20,10,0.8,100,"HPB",10,0.01,3.33333333333333
"GA2","Case: 0034",3482.30200004578,1217381.36776248,94037.8744578441,23343.4933046343,900000,200000,"[[2, 4, 7, 10], [5, 9], [6], [3, 8], [1]]","[[24, 2, 11, 13], [15, 72], [112], [6, 5], [30]]","[[0.05835714049030514, 0.016319472276608685, 0.16223497854396016, 0.05929338196448609], [0.030897005006383604, 0.14952668587205875], [0.39361690073570427], [0.04285981616615547, 0.04333872466920602], [0.10268140261378178]]","[2, 4, 1, 1, 1]",-42530.3524862903,-3.37566131045219,5,9,1.8,2.22222222222222,22.2222222222222,290,34,10,10,0.8,100,"HPB",100,0.1,2
