"case_id","running_time","total_cost","holding_cost","penalty_cost","machine_cost","skill_cost","best_cluster","bestS","bestEBO","bestServerAssignment","GAP","GAPoolingPercentGAP"
"Case: 0011",9.05847692489624,1209689.75873284,61679.7838062544,18009.9749265923,1000000,130000,"[[2], [3, 4], [5], [6], [7], [8], [9], [1, 10]]","[[13], [40, 16], [3], [12], [10], [1], [12], [3, 6]]","[[0.09992893618112757], [0.02253716916790836, 0.14400210167587077], [0.022207367821443537], [0.03543281274746326], [0.021674411571570018], [0.0062841798328766045], [0.11034071375454667], [0.024036998238915166, 0.02783120806323409]]","[2, 2, 1, 1, 1, 1, 1, 1]",93375.4318111538,8.36461824051318
"Case: 0012",277.064757108688,158122.67438593,19811.1605140933,6311.51387183709,110000,22000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[1, 3, 2, 2, 3, 1, 2, 1, 1, 2, 2, 1, 3, 2, 3, 1, 1, 1, 2, 3]]","[[0.004745347888352906, 0.0039992994876252245, 0.00948071387533879, 0.023153589929737765, 0.00930929330630051, 0.012363703694320754, 0.006701495662218716, 0.0032337373035566633, 0.024167330547957583, 0.0018319991173491228, 0.008498816578332938, 0.02585671153582327, 0.01482527499575704, 0.009545758809830674, 0.01839176821800679, 0.0010324849146863655, 0.015010266061022008, 0.0031893781951548733, 0.023548574060581893, 0.008344963257924809]]","[11]",18160.1990212209,12.9750484720277
"Case: 0013",11.8167114257812,706905.28199229,62738.4313206821,22166.8506716082,600000,22000,"[[3], [1, 4, 5, 9], [2, 6, 7, 8, 10]]","[[1], [4, 12, 50, 3], [3, 5, 3, 5, 6]]","[[0.005579525814198631], [0.008806900673697497, 0.08812762908606073, 0.49879381486780244, 0.004200045970050876], [0.004937656996285927, 0.004002581683428136, 0.01958441758942672, 0.03405848195189844, 0.027537644143032662]]","[1, 4, 1]",108812.377435938,18.1932232613013
"Case: 0014",32.5869038105011,156440.089379781,27790.2113937595,8649.87798602164,90000,30000,"[[1, 11, 12], [2, 4, 5, 7], [8, 10], [13], [6, 9, 14, 16, 17, 18], [3, 15, 19], [20]]","[[3, 1, 7], [2, 6, 4, 4], [6, 3], [1], [2, 2, 1, 2, 1, 2], [1, 2, 1], [0]]","[[0.013414630853624454, 0.011255874845456667, 0.01911198684099851], [0.008020573159111876, 0.056680423040559993, 0.05576855798660204, 0.004938306486501025], [0.06831512436681524, 0.017602929662271994], [0.0019201473639407064], [0.0036243063841921736, 0.01718263998253295, 0.020972304973772282, 0.013012074020432744, 0.011150215859261414, 0.004943987971555875], [0.0035953446766595312, 0.0031229534876114724, 0.00948802675930085], [0.0038640224692507177]]","[1, 2, 1, 1, 2, 1, 1]",10577.2908040483,7.25153425501877
"Case: 0015",3240.57882356643,205340.770659744,32353.1279419367,8987.64271780754,140000,24000,"[[1], [3], [4], [5], [6], [7], [2, 8, 9], [10]]","[[1], [0], [11], [30], [2], [4], [5, 10, 4], [6]]","[[0.018345283893548774], [0.004249832049002181], [0.05205259372755688], [0.01948086855855551], [0.004520657974967945], [0.05140396369692881], [0.01884550189021893, 0.039750593976196756, 0.015732704523094526], [0.054067918751524065]]","[1, 1, 1, 2, 1, 1, 5, 2]",28215.0604536703,15.9293986292808
"Case: 0016",164.135995864868,1310080.4527096,75721.8843993069,34358.5683102987,1000000,200000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[4, 19, 4, 2, 28, 4, 3, 2, 3, 16, 3, 5, 5, 7, 4, 10, 10, 8, 2, 4]]","[[0.03939996317422047, 0.05160670360495877, 0.003934826149561013, 0.005074894093965277, 0.3728978494081774, 0.06422630830122021, 0.0020116864487124695, 0.015345704956172653, 0.04115330807179368, 0.11366845484573727, 0.01830038105584032, 0.047524615945333144, 0.01088068016417938, 0.037584659745279726, 0.007301724346254973, 0.08550522410994671, 0.06753769481216733, 0.16861204392484114, 0.02803324180773266, 0.008042282114990352]]","[10]",161819.249419036,14.0925469706118
"Case: 0017",5.53116559982299,480494.262097543,29829.849685539,10664.4124120046,400000,40000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[2, 4, 8, 4, 7, 12, 2, 5, 21, 13]]","[[0.015532223465425309, 0.11206067628149075, 0.012908438918678999, 0.004873140110581228, 0.06542302909284173, 0.011420884754536344, 0.007998227455814612, 0.010794074929283243, 0.09091051727075401, 0.13688563925055283]]","[4]",23015.3936660828,5.03091951437993
"Case: 0018",15.480529308319,107414.75922307,15415.5193187364,4999.23990433426,60000,27000,"[[2, 13, 18], [8], [1, 3, 9, 10, 11, 14, 15], [4, 12, 16], [5, 6, 7, 17, 19, 20]]","[[2, 2, 2], [1], [0, 4, 2, 2, 2, 5, 2], [2, 3, 4], [10, 1, 4, 7, 5, 3]]","[[0.014416384912557614, 0.007617348377352787, 0.01959779456670213], [0.002531318927823881], [0.056098502445503906, 0.004972309211160542, 0.003839659616052334, 0.010314354496433137, 0.014087204287461677, 0.004220214085261365, 0.004507280510940322], [0.025726311130971027, 0.018276123615701394, 0.017217042766623357], [0.018637198471498494, 0.029691446330044072, 0.04060478914499051, 0.03137082573015124, 0.024162324705829248, 0.017826515585814683]]","[1, 1, 2, 1, 1]",6064.99072248984,5.9842176378085
"Case: 0019",67.0973889827728,166699.427901143,19191.5811681922,4507.8467329508,130000,13000,"[[1], [2], [3], [4], [5], [6], [7], [8], [9], [10]]","[[26], [1], [1], [5], [17], [7], [1], [12], [5], [5]]","[[0.030766834614041588], [0.0016561033889275656], [0.014779921701924457], [0.020511782317742575], [0.01690753333317746], [0.015439520819735217], [0.008096356758394289], [0.016126819399587197], [0.0149898255181476], [0.020576348527152233]]","[1, 1, 1, 1, 3, 1, 1, 2, 1, 1]",14148.0462437074,9.27428259907721
"Case: 0020",35.6633050441741,955107.262529887,33881.8676632765,11225.3948666107,800000,110000,"[[2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 15, 16, 17, 18, 19], [1, 9, 12, 14, 20]]","[[4, 15, 2, 3, 9, 4, 7, 4, 1, 7, 8, 4, 12, 9, 2], [1, 1, 1, 1, 1]]","[[0.0042097018818847, 0.017254299010563048, 0.011006150432515783, 0.012683377798183426, 0.03404881565159926, 0.0028929687154275654, 0.019102950826419485, 0.027905757673579955, 0.01402034663474285, 0.026376947453461724, 0.06348645355096187, 0.010711258114274765, 0.04954744817460177, 0.022263993611630877, 0.03861497372071823], [0.026571351175628394, 0.03494633392351913, 0.010047568928656032, 0.0028327872796892833, 0.02659143528344937]]","[7, 1]",-43051.7542502421,-4.31311579883522
