num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
3,10,3.3333333333333335,3.8,38.0,330
1,6,6.0,20.0,100.0,106
4,5,1.25,2.4,24.0,128
8,10,1.25,2.5,12.5,156
2,7,3.5,4.714285714285714,47.142857142857146,256
3,4,1.3333333333333333,8.75,43.75,115
3,5,1.6666666666666667,3.6,36.0,64
6,12,2.0,3.0833333333333335,15.416666666666668,106
4,10,2.5,2.4,24.0,219
3,5,1.6666666666666667,10.0,50.0,100
3,6,2.0,3.1666666666666665,31.666666666666664,41
8,9,1.125,2.4444444444444446,12.222222222222223,160
3,9,3.0,3.5555555555555554,35.55555555555556,71
1,6,6.0,20.0,100.0,145
5,5,1.0,2.0,20.0,64
2,9,4.5,9.555555555555555,47.77777777777778,174
5,11,2.2,2.090909090909091,20.90909090909091,177
6,7,1.1666666666666667,3.2857142857142856,16.428571428571427,89
3,5,1.6666666666666667,3.0,30.0,71
3,9,3.0,9.555555555555555,47.77777777777778,264
4,8,2.0,2.25,22.5,107
5,5,1.0,4.0,20.0,89
2,6,3.0,6.0,60.0,114
4,6,1.5,2.5,25.0,37
5,9,1.8,3.4444444444444446,17.22222222222222,85
1,5,5.0,10.0,100.0,42
1,10,10.0,20.0,100.0,146
6,6,1.0,3.3333333333333335,16.666666666666668,55
4,9,2.25,2.5555555555555554,25.555555555555554,175
1,6,6.0,20.0,100.0,65
1,10,10.0,10.0,100.0,94
2,5,2.5,5.6,56.0,336
2,8,4.0,9.25,46.25,123
3,5,1.6666666666666667,3.0,30.0,77
7,11,1.5714285714285714,2.909090909090909,14.545454545454547,125
1,5,5.0,20.0,100.0,83
1,8,8.0,10.0,100.0,123
6,7,1.1666666666666667,3.4285714285714284,17.142857142857142,69
5,11,2.2,2.1818181818181817,21.818181818181817,83
2,4,2.0,6.5,65.0,94
3,8,2.6666666666666665,7.125,35.625,103
5,5,1.0,2.0,20.0,164
10,11,1.1,1.9090909090909092,9.545454545454545,231
2,4,2.0,10.0,50.0,110
3,8,2.6666666666666665,3.25,32.5,93
6,6,1.0,3.3333333333333335,16.666666666666668,85
4,9,2.25,2.2222222222222223,22.22222222222222,182
5,5,1.0,2.0,20.0,117
8,9,1.125,2.4444444444444446,12.222222222222223,178
3,5,1.6666666666666667,3.2,32.0,75
4,9,2.25,6.111111111111111,30.555555555555554,298
5,5,1.0,4.0,20.0,96
4,8,2.0,2.0,20.0,116
2,5,2.5,8.8,44.00000000000001,187
3,9,3.0,4.555555555555555,45.55555555555556,186
1,6,6.0,20.0,100.0,83
2,10,5.0,6.6,66.0,129
1,6,6.0,10.0,100.0,95
3,11,3.6666666666666665,12.727272727272727,63.63636363636364,532
1,5,5.0,20.0,100.0,129
2,8,4.0,5.0,50.0,70
3,5,1.6666666666666667,4.4,44.00000000000001,42
2,8,4.0,9.5,47.5,74
1,4,4.0,20.0,100.0,132
3,8,2.6666666666666665,3.125,31.25,79
1,4,4.0,10.0,100.0,92
3,8,2.6666666666666665,8.5,42.5,114
2,5,2.5,11.4,57.0,110
2,9,4.5,5.777777777777778,57.77777777777777,172
2,5,2.5,4.6,45.99999999999999,68
3,9,3.0,6.666666666666667,33.333333333333336,197
4,6,1.5,4.833333333333333,24.166666666666664,40
6,10,1.6666666666666667,1.8,18.0,63
4,6,1.5,2.1666666666666665,21.666666666666664,143
7,11,1.5714285714285714,2.8181818181818183,14.09090909090909,64
9,9,1.0,2.2222222222222223,11.11111111111111,72
5,11,2.2,1.9090909090909092,19.09090909090909,107
4,6,1.5,2.5,25.0,54
8,12,1.5,2.3333333333333335,11.666666666666668,106
6,6,1.0,3.3333333333333335,16.666666666666668,85
6,10,1.6666666666666667,1.8,18.0,125
4,5,1.25,2.4,24.0,100
7,10,1.4285714285714286,2.6,13.0,195
5,5,1.0,4.0,20.0,125
3,8,2.6666666666666665,2.5,25.0,120
3,4,1.3333333333333333,3.25,32.5,82
7,8,1.1428571428571428,2.75,13.75,179
