,CIE_SA,MSSA,MSSA_Inner,MSSA_Adaptive,Flexible,Dedicated,VNS_Kmedian,VNS,Kmedian1,Kmedian2,Kmedian3,Kmedian4,GA2
68,166077.75,162724.93,162724.93,162724.93,162724.93,293033.01,162724.93,167788.86,162724.93,162724.93,162724.93,162724.93,194381.06
69,112519.07,112277.02,118760.13,117961.38,178977.04,243000.85,112277.02,118356.33,141076.65,166555.81,140051.02,141076.65,131942.24
70,162125.52,162125.52,162125.52,165138.39,225247.82,195986.72,162336.06,163972.09,195986.72,169655.8,173660.21,195986.72,163088.94
71,102180.98,97292.89,97292.89,97292.89,97292.89,231417.24,97292.89,107501.47,97292.89,97292.89,97292.89,97292.89,121874.61
72,144180.9,144388.72,144388.72,144388.72,144388.72,197010.1,144388.72,144180.9,144388.72,144388.72,144388.72,144388.72,147835.68
73,62440.01,61866.48,61866.48,62296.48,65830.77,110885.85,61866.48,62440.01,65830.77,65830.77,65830.77,65830.77,63260.88
74,122047.71,122602.2,125019.98,125019.98,126180.34,238006.83,119080.56,123697.9,126180.34,126180.34,126180.34,126180.34,147203.89
75,88630.69,85184.18,88630.69,90773.56,143377.7,133386.18,85184.18,85184.18,119677.85,93850.48,94989.21,119677.85,89957.25
76,172398.89,172066.24,172431.47,174135.01,324968.43,268477.72,172505.76,175882.95,222380.16,208278.72,203392.35,222380.16,189071.65
77,82679.02,77605.65,76736.83,76736.83,77605.65,215633.05,77605.65,91301.46,77605.65,77605.65,76149.49,77605.65,93295.72
78,108776.35,112985.49,112985.49,108776.35,112985.49,162933.78,112985.49,112739.66,112985.49,112985.49,112985.49,112985.49,115632.47
79,129091.53,129091.53,129091.53,132735.81,200981.24,241124.85,124530.5,129468.54,164830.32,158932.93,145469.32,164830.32,134508.29
80,164064.46,164064.46,164064.46,164406.61,224957.22,193571.12,164064.46,165001.22,181497.78,175133.66,183998.33,181497.78,164406.61
81,474644.26,471925.91,474897.11,496266.64,499782.74,1041172.3,471925.91,474644.26,499782.74,499782.74,499782.74,499782.74,475505.12
82,944285.32,912088.56,918077.7,932738.04,1028190.21,2265630.66,918077.7,986593.51,1028190.21,1028190.21,979660.81,1028190.21,1119443.79
83,698102.21,698102.21,698102.21,699100.19,1116291.39,1153104.78,698102.21,698102.21,934230.55,999369.63,831085.98,934230.55,769422.18
84,1354131.07,1339302.78,1339302.78,1363572.54,3057915.72,2384062.8,1402508.18,1402442.09,1626692.45,1952184.97,1595093.22,1626692.45,1408570.1
85,566120.55,494185.81,503471.83,502466.77,581189.06,2045034.62,502466.77,566032.76,576427.02,581189.06,531497.0,576427.02,682222.67
86,887186.31,882990.34,891302.26,882990.34,974962.26,1362951.15,882990.34,891302.26,974962.26,974962.26,915980.16,974962.26,893759.96
87,867775.94,851803.94,851803.94,871022.74,1831346.18,2234876.4,853183.72,943565.1,1142038.61,1280946.57,998077.63,1137523.71,1021840.5
88,1223011.35,1223011.35,1223011.35,1225692.89,1906891.78,1690602.75,1223011.35,1223011.35,1374395.94,1535225.47,1517792.45,1411264.1,1302206.72
89,631233.28,634627.25,633963.25,641089.34,1058539.42,1112599.51,631233.28,631233.28,912943.35,765776.66,783120.43,912943.35,642010.41
90,1169688.83,1098258.41,1101850.49,1197077.74,2495633.85,2334767.17,1174977.01,1170476.08,1744167.6,1626870.82,1574687.78,1744167.6,1299348.57
91,532690.15,532690.15,532690.15,539110.62,563943.38,1119430.4,532690.15,539278.84,563943.38,563943.38,554284.3,563943.38,628082.72
92,1093895.13,1107501.62,1105588.45,1081288.76,1237997.91,2347332.55,1048608.18,1175198.79,1187297.25,1237997.91,1225728.44,1187297.25,1243259.7
93,746557.08,663138.49,738333.22,668167.16,1341078.59,2219878.46,738218.88,927073.24,881469.53,1121740.54,941435.88,881469.53,1058314.98
94,1009961.8,1009961.8,1009961.8,1009961.8,1521750.5,1568565.86,1009961.8,1009961.8,1146324.22,1425259.74,1251213.45,1146324.22,1020421.86
95,655958.06,611253.08,611253.08,597022.01,744065.56,2038568.09,611253.08,653989.27,611253.08,744065.56,661368.73,611253.08,820589.95
96,1002599.77,992536.72,1002599.77,983620.89,1084865.22,1443700.1,999722.71,1002599.77,1084865.22,1084865.22,1084865.22,1084865.22,1053267.31
97,103078.47,96557.32,96557.32,96557.32,96557.32,229888.78,96557.32,103196.32,96557.32,96557.32,96557.32,96557.32,130062.62
98,137449.19,137449.19,137449.19,143132.12,160472.31,190069.11,138931.52,138931.52,160472.31,155632.75,138931.52,160472.31,140852.44
99,83110.52,82257.77,82257.77,82257.77,82257.77,140751.73,82257.77,83110.52,82257.77,82257.77,82257.77,82257.77,89735.79
100,177961.71,171466.73,178303.88,178303.88,179912.73,285349.59,171813.82,184268.66,179912.73,179912.73,175254.96,179912.73,188826.15
101,76529.64,75112.32,75112.32,75112.32,75112.32,213395.35,75112.32,79972.66,75112.32,75112.32,75112.32,75112.32,93983.64
102,102505.16,102505.16,102505.16,102732.65,104937.74,157282.54,102505.16,102505.16,104881.46,103918.11,104937.74,104881.46,108815.5
103,68990.45,66862.22,66862.22,66862.22,71236.68,116312.17,66862.22,66862.22,68867.66,67847.03,70759.36,68867.66,70585.71
104,124038.2,120886.8,120886.8,119195.73,132790.11,239393.21,119195.73,132964.38,128883.71,132790.11,130279.69,128883.71,155043.49
